index|LATITUDE|LONGITUDE|name
288|660|45.99|-120.68|SATUS PASS, WA US
289|662|46.8565|-122.5793|YELM 6.3 S, WA US
290|664|48.1239|-122.8268|PORT TOWNSEND 2.2 W, WA US
291|666|47.3963|-120.28|EAST WENATCHEE 1.5 SSE, WA US
292|668|48.0753|-122.4763|LANGLEY 4.1 NW, WA US
293|670|48.57|-120.78|SWAMP CREEK, WA US
294|672|48.586000000000006|-122.329|BURLINGTON 8.1 N, WA US
295|673|48.537|-121.79700000000001|CONCRETE 2.2 W, WA US
296|684|47.94|-123.43|WATERHOLE, WA US
297|686|47.97417|-117.42833|DEER PARK AIRPORT, WA US
298|692|47.6976|-121.916|CARNATION 3.6 N, WA US
299|693|48.8612|-122.1408|DEMING 4.2 NE, WA US
300|697|48.098|-123.42|PORT ANGELES 6.7 SSE, WA US
301|699|48.7055|-122.435|BELLINGHAM 3.0 SSE, WA US
302|704|45.99|-120.81|INDIAN ROCK, WA US
303|706|48.4076|-122.3463|MOUNT VERNON 1.8 SW, WA US
304|707|48.0665|-123.0832|SEQUIM 1.3 SE, WA US
305|710|48.5816|-122.2358|SEDRO WOOLLEY 5.1 N, WA US
306|711|48.2198|-122.6859|COUPEVILLE 0.5 WNW, WA US
307|721|47.0235|-122.8918|OLYMPIA 1.3 S, WA US
308|725|48.0961|-122.5829|GREENBANK 0.5 WSW, WA US
309|726|47.238|-123.1408|SHELTON SANDERSON FIELD, WA US
310|730|47.71|-123.46|BUCKINGHORSE, WA US
311|734|47.7856|-122.67299999999999|POULSBO 3.7 NNW, WA US
312|737|47.9755|-122.7484|CHIMACUM 2.6 SSE, WA US
313|744|46.1|-121.96|PEPPER CREEK, WA US
314|748|48.7176|-118.2049|KETTLE FALLS 10.2 NW, WA US
315|750|48.0406|-122.7774|HADLOCK IRONDALE 0.6 SSW, WA US
316|751|48.12028|-123.49833000000001|PORT ANGELES FAIRCHILD INTERNATIONAL AIRPORT, WA US
317|754|48.82|-121.93|MF NOOKSACK, WA US
318|756|48.9368|-122.4684|LYNDEN 1.0 SW, WA US
319|757|47.53028|-122.30083|SEATTLE BOEING FIELD, WA US
320|765|48.0268|-122.4874|FREELAND 2.5 ENE, WA US
321|766|46.9889|-124.1559|OCEAN SHORES 1.2 N, WA US
322|771|46.3075|-122.9047|CASTLE ROCK WASHINGTON, WA US
323|773|48.95|-118.99|GOLD AXE CAMP, WA US
324|775|46.9721|-123.8407|ABERDEEN 1.6 WSW, WA US
325|776|48.7978|-119.26|TONASKET 11 NE, WA US
326|783|45.8176|-121.3533|SNOWDEN, WA US
327|786|46.87|-121.53|CAYUSE PASS, WA US
328|788|48.98|-121.08|HOZOMEEN CAMP, WA US
329|790|48.1355|-122.8008|PORT TOWNSEND 1.4 NW, WA US
330|791|48.0181|-120.2342|CAMP 4 WASHINGTON, WA US
331|793|47.8983|-122.8237|QUILCENE 5.8 NNE, WA US
332|795|45.9967|-122.3988|YACOLT 9.0 N, WA US
333|796|48.0375|-123.3309|PORT ANGELES 12.2 SSE, WA US
334|798|48.1171|-122.7685|PORT TOWNSEND 0.6 SE, WA US
335|800|47.9328|-122.686|PORT LUDLOW 0.5 NNW, WA US
336|801|48.0601|-123.5059|PORT ANGELES 9.3 SSW, WA US
337|802|48.6192|-122.3429|BELLINGHAM 10.3 SSE, WA US
338|805|48.5652|-123.16|FRIDAY HARBOR 6.2 WNW, WA US
339|807|48.6079|-122.9466|ORCAS 0.7 NNW, WA US
340|809|47.49333|-122.21444|RENTON MUNICIPAL AIRPORT, WA US
341|811|46.8658|-117.0899|PALOUSE 3.2 SSW, WA US
342|815|46.74389|-117.10861000000001|PULLMAN MOSCOW REGIONAL AIRPORT, WA US
343|817|47.7669|-122.5192|INDIANOLA 0.9 NNW, WA US
344|819|46.6103|-122.6903|ONALASKA 2.8 NE, WA US
345|824|46.2733|-117.495|ALDER RIDGE WASHINGTON, WA US
346|826|47.04|-121.94|BURNT MOUNTAIN, WA US
347|830|47.3638|-120.2284|MALAGA 1.5 WSW, WA US
348|832|45.9444|-121.9864|DRY CREEK SKAMANIA WASHINGTO, WA US
349|836|47.9167|-123.1172|COUGAR MOUNTAIN WASHINGTON, WA US
350|842|47.7|-121.6908|TOLT SOUTH FORK RESERVOIR, WA US
351|852|47.3709|-120.2074|MALAGA 0.4 WSW, WA US
352|856|46.9736|-124.1406|OCEAN SHORES 0.6 ENE, WA US
353|859|47.0378|-117.9472|ESCURE WASHINGTON, WA US
354|861|46.9583|-124.1477|OCEAN SHORES 0.9 SSE, WA US
355|865|47.2|-121.78|LYNN LAKE, WA US
356|869|47.8376|-122.1963|BOTHELL 5.4 N, WA US
357|870|46.8814|-119.3242|COLUMBIA NWR WASHINGTON, WA US
358|880|46.6722|-120.4994|SELAH 2 NE, WA US
359|882|48.8897|-121.9476|GLACIER 0.1 SW, WA US
360|885|47.4136|-124.1031|BLACK KNOB WASHINGTON, WA US
361|887|48.0891|-123.5448|PORT ANGELES 8.1 SSW, WA US
362|889|48.5046|-122.6503|ANACORTES 1.3 NW, WA US
363|890|48.5405|-121.446|DARRINGTON 21 NNE, WA US
364|892|47.4752|-122.2019|RENTON 0.5 SSW, WA US
365|900|48.4277|-122.3886|MOUNT VERNON 3.4 W, WA US
366|902|47.9636|-122.0984|WEST LAKE STEVENS 2.1 S, WA US
367|905|47.3766|-121.9613|LANDSBURG, WA US
